"waterbody_segment","pollutant_name","pollutant_group","test_fraction","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance"
"FORT STANTON TRIBUTARY","ACENAPHTHENE","PAH1",NA,20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","ANTHRACENE","PAH1",NA,20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,20,2021,1,"2014",19,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,16
"FORT STANTON TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,20,2021,1,"2014",19,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,16
"FORT STANTON TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,17,2021,0,"Never",16,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","CHRYSENE","PAH2",NA,20,2021,1,"2014",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","DIELDRIN","DIELDRIN",NA,17,2021,0,"Never",16,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","FLUORANTHENE","PAH2",NA,20,2021,2,"2014",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","FLUORENE","PAH1",NA,20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,17,2021,0,"Never",16,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","NAPHTHALENE","PAH1",NA,20,2021,1,"2014",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,9,2021,9,"2021",8,0,0,9,NA,"Never",NA,"Never",2021-06-17,"2021",NA,NA,0
"FORT STANTON TRIBUTARY","PYRENE","PAH2",NA,20,2021,2,"2014",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","4_4_DDD","DDD",NA,6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","4_4_DDE","DDE",NA,6,2019,1,"2014",5,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,3
"HICKEY RUN","4_4_DDT","DDT",NA,6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","ACENAPHTHENE","PAH1",NA,6,2019,2,"2014",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","ANTHRACENE","PAH1",NA,6,2019,2,"2014",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","BENZO_A_ANTHRACENE","PAH2",NA,6,2019,2,"2014",5,0,0,2,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,3
"HICKEY RUN","BENZO_A_PYRENE","PAH3",NA,6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","BENZO_B_FLUORANTHENE","PAH3",NA,6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","BENZO_K_FLUORANTHENE","PAH3",NA,6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","CHRYSENE","PAH2",NA,6,2019,2,"2014",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","DIELDRIN","DIELDRIN",NA,6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","FLUORANTHENE","PAH2",NA,6,2019,2,"2014",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","FLUORENE","PAH1",NA,6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","NAPHTHALENE","PAH1",NA,6,2019,2,"2014",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"HICKEY RUN","PCB_TOTAL","PCB_TOTAL",NA,3,2014,3,"2014",3,0,0,3,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,0
"HICKEY RUN","PYRENE","PAH2",NA,6,2019,2,"2014",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KINGMAN LAKE","4_4_DDD","DDD",NA,25,2019,3,"2019",13,0,0,3,NA,"Never",NA,"Never",2019-06-11,"2019",NA,NA,0
"KINGMAN LAKE","4_4_DDE","DDE",NA,25,2019,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KINGMAN LAKE","4_4_DDT","DDT",NA,25,2019,3,"2016",13,2,0,3,2016-10-05,"2016",NA,"Never",2016-12-01,"2016",10,NA,3
"KINGMAN LAKE","ACENAPHTHENE","PAH1",NA,25,2019,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KINGMAN LAKE","ANTHRACENE","PAH1",NA,25,2019,2,"2016",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KINGMAN LAKE","BENZO_A_ANTHRACENE","PAH2",NA,25,2019,3,"2016",13,0,0,3,NA,"Never",NA,"Never",2016-10-05,"2016",NA,NA,10
"KINGMAN LAKE","BENZO_A_PYRENE","PAH3",NA,25,2019,2,"2016",13,0,0,2,NA,"Never",NA,"Never",2016-06-15,"2016",NA,NA,15
"KINGMAN LAKE","BENZO_B_FLUORANTHENE","PAH3",NA,25,2019,3,"2016",13,0,0,3,NA,"Never",NA,"Never",2016-10-05,"2016",NA,NA,10
"KINGMAN LAKE","BENZO_K_FLUORANTHENE","PAH3",NA,25,2019,1,"2016",13,0,0,1,NA,"Never",NA,"Never",2016-06-15,"2016",NA,NA,15
"KINGMAN LAKE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,25,2019,1,"2014",13,0,0,1,NA,"Never",NA,"Never",2014-09-22,"2014",NA,NA,20
"KINGMAN LAKE","CHRYSENE","PAH2",NA,25,2019,3,"2016",13,0,0,1,NA,"Never",NA,"Never",2016-06-15,"2016",NA,NA,15
"KINGMAN LAKE","DIBENZO_A_H_ANTHRACENE","PAH3",NA,25,2019,1,"2016",13,0,0,1,NA,"Never",NA,"Never",2016-06-15,"2016",NA,NA,15
"KINGMAN LAKE","DIELDRIN","DIELDRIN",NA,25,2019,2,"2018",13,0,0,2,NA,"Never",NA,"Never",2018-08-30,"2018",NA,NA,2
"KINGMAN LAKE","FLUORANTHENE","PAH2",NA,25,2019,14,"2016",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KINGMAN LAKE","FLUORENE","PAH1",NA,25,2019,1,"2016",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,25,2019,1,"2016",13,0,0,1,NA,"Never",NA,"Never",2016-07-29,"2016",NA,NA,11
"KINGMAN LAKE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,25,2019,1,"2016",13,0,0,1,NA,"Never",NA,"Never",2016-06-15,"2016",NA,NA,15
"KINGMAN LAKE","NAPHTHALENE","PAH1",NA,25,2019,2,"2016",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KINGMAN LAKE","PCB_TOTAL","PCB_TOTAL",NA,18,2016,18,"2016",7,0,0,18,NA,"Never",NA,"Never",2016-12-01,"2016",NA,NA,0
"KINGMAN LAKE","PYRENE","PAH2",NA,25,2019,14,"2016",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","4_4_DDD","DDD",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","4_4_DDE","DDE",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","4_4_DDT","DDT",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","ACENAPHTHENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","ANTHRACENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","BENZO_A_ANTHRACENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","BENZO_A_PYRENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","BENZO_B_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","BENZO_K_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","CHRYSENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","DIELDRIN","DIELDRIN",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"KLINGLE VALLEY","FLUORANTHENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","FLUORENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"KLINGLE VALLEY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","NAPHTHALENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"KLINGLE VALLEY","PCB_TOTAL","PCB_TOTAL",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"KLINGLE VALLEY","PYRENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","4_4_DDD","DDD",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","4_4_DDE","DDE",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","4_4_DDT","DDT",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","ACENAPHTHENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","ANTHRACENE","PAH1",NA,3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","BENZO_A_PYRENE","PAH3",NA,3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","CHRYSENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","DIELDRIN","DIELDRIN",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"LUZON BRANCH","FLUORANTHENE","PAH2",NA,3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","FLUORENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"LUZON BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","NAPHTHALENE","PAH1",NA,3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"LUZON BRANCH","PCB_TOTAL","PCB_TOTAL",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"LUZON BRANCH","PYRENE","PAH2",NA,3,2013,1,"2007",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","4_4_DDD","DDD",NA,14,2021,1,"2020",14,1,0,1,2020-09-10,"2020",NA,"Never",2020-09-10,"2020",9,NA,9
"MELVIN HAZEN VALLEY BRANCH","4_4_DDE","DDE",NA,14,2021,1,"2020",14,1,0,1,2020-09-10,"2020",NA,"Never",2020-09-10,"2020",9,NA,9
"MELVIN HAZEN VALLEY BRANCH","4_4_DDT","DDT",NA,14,2021,2,"2020",14,2,0,2,2020-08-12,"2020",NA,"Never",2020-08-12,"2020",10,NA,10
"MELVIN HAZEN VALLEY BRANCH","ACENAPHTHENE","PAH1",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","ANTHRACENE","PAH1",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_PYRENE","PAH3",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","CHRYSENE","PAH2",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","DIELDRIN","DIELDRIN",NA,14,2021,9,"2021",14,0,0,9,NA,"Never",NA,"Never",2021-06-17,"2021",NA,NA,0
"MELVIN HAZEN VALLEY BRANCH","FLUORANTHENE","PAH2",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","FLUORENE","PAH1",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,14,2021,2,"2021",14,0,0,2,NA,"Never",NA,"Never",2021-02-10,"2021",NA,NA,4
"MELVIN HAZEN VALLEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","NAPHTHALENE","PAH1",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,6,2021,6,"2021",6,0,0,6,NA,"Never",NA,"Never",2021-06-17,"2021",NA,NA,0
"MELVIN HAZEN VALLEY BRANCH","PYRENE","PAH2",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NASH RUN","4_4_DDD","DDD",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NASH RUN","4_4_DDE","DDE",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NASH RUN","4_4_DDT","DDT",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NASH RUN","ACENAPHTHENE","PAH1",NA,7,2019,2,"2014",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NASH RUN","ANTHRACENE","PAH1",NA,7,2019,2,"2018",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NASH RUN","BENZO_A_ANTHRACENE","PAH2",NA,7,2019,3,"2018",6,0,0,3,NA,"Never",NA,"Never",2018-10-12,"2018",NA,NA,1
"NASH RUN","BENZO_A_PYRENE","PAH3",NA,7,2019,2,"2018",6,0,0,2,NA,"Never",NA,"Never",2018-10-12,"2018",NA,NA,1
"NASH RUN","BENZO_B_FLUORANTHENE","PAH3",NA,7,2019,1,"2018",6,0,0,1,NA,"Never",NA,"Never",2018-10-12,"2018",NA,NA,1
"NASH RUN","BENZO_K_FLUORANTHENE","PAH3",NA,7,2019,1,"2018",6,0,0,1,NA,"Never",NA,"Never",2018-10-12,"2018",NA,NA,1
"NASH RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NASH RUN","CHRYSENE","PAH2",NA,7,2019,3,"2018",6,0,0,1,NA,"Never",NA,"Never",2018-10-12,"2018",NA,NA,1
"NASH RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,7,2019,1,"2018",6,0,0,1,NA,"Never",NA,"Never",2018-10-12,"2018",NA,NA,1
"NASH RUN","DIELDRIN","DIELDRIN",NA,7,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,3
"NASH RUN","FLUORANTHENE","PAH2",NA,7,2019,4,"2018",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NASH RUN","FLUORENE","PAH1",NA,7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NASH RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,7,2019,2,"2014",6,0,0,2,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,3
"NASH RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,7,2019,1,"2018",6,0,0,1,NA,"Never",NA,"Never",2018-10-12,"2018",NA,NA,1
"NASH RUN","NAPHTHALENE","PAH1",NA,7,2019,2,"2014",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NASH RUN","PCB_TOTAL","PCB_TOTAL",NA,4,2014,4,"2014",3,0,0,4,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,0
"NASH RUN","PYRENE","PAH2",NA,7,2019,4,"2018",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","4_4_DDD","DDD",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","4_4_DDE","DDE",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","4_4_DDT","DDT",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","ACENAPHTHENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","ANTHRACENE","PAH1",NA,2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","BENZO_B_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","CHRYSENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","DIELDRIN","DIELDRIN",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"NORMANSTONE CREEK","FLUORANTHENE","PAH2",NA,2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","FLUORENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"NORMANSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","NAPHTHALENE","PAH1",NA,2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"NORMANSTONE CREEK","PCB_TOTAL","PCB_TOTAL",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"NORMANSTONE CREEK","PYRENE","PAH2",NA,2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","4_4_DDD","DDD",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","4_4_DDE","DDE",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","4_4_DDT","DDT",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","ACENAPHTHENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"OXON RUN","ANTHRACENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
