"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"ROCK CREEK UPPER","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","6","3","2019","1","2013","1","2013 (D)","4","No (D)","Never (D)"
"TIDAL BASIN","CHLORDANE_TECHNICAL",NA,"","","3","0","2014","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","CHLORDANE_TECHNICAL",NA,"","","19","12","2016","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","CHLORDANE_TECHNICAL",NA,"","","7","4","2019","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","Yes","2016 - 2019"
"ANACOSTIA UPPER","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","Yes","2018 - 2021"
"BROAD BRANCH","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DALECARLIA TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FENWICK BRANCH","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","Yes","2016 - 2019"
"KLINGLE VALLEY","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NASH RUN","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PORTAL BRANCH","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK UPPER","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","Yes","2018 - 2021"
"TIDAL BASIN","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA UPPER","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BROAD BRANCH","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DALECARLIA TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FENWICK BRANCH","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KLINGLE VALLEY","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NASH RUN","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PORTAL BRANCH","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","Yes","2018 - 2021"
"ROCK CREEK UPPER","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","Yes","2013 - 2016"
"TIDAL BASIN","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","Yes","2018 - 2021"
"ANACOSTIA UPPER","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","Yes","2018 - 2021"
"BROAD BRANCH","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","Yes","2018 - 2021"
"DALECARLIA TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","Yes","2018 - 2021"
"FENWICK BRANCH","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","Yes","2016 - 2019"
"KLINGLE VALLEY","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","Yes","2018 - 2021"
"NASH RUN","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PORTAL BRANCH","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK UPPER","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TIDAL BASIN","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","DIELDRIN",NA,"","","52","40","2021","2","2021","2","2021 (D)","0","Yes","2018 - 2021"
"ANACOSTIA UPPER","DIELDRIN",NA,"","","105","86","2019","38","2019","38","2019 (D)","0","Yes","2018 - 2021"
"BROAD BRANCH","DIELDRIN",NA,"","","14","13","2021","9","2021","9","2021 (D)","0","Yes","2018 - 2021"
"DALECARLIA TRIBUTARY","DIELDRIN",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"DUMBARTON OAKS","DIELDRIN",NA,"","","15","13","2021","14","2021","14","2021 (D)","0","Yes","2018 - 2021"
"FENWICK BRANCH","DIELDRIN",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","DIELDRIN",NA,"","","13","13","2021","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","DIELDRIN",NA,"","","17","13","2021","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","DIELDRIN",NA,"","","6","3","2019","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","DIELDRIN",NA,"","","25","15","2019","2","2018","2","2018 (D)","2","Yes","2016 - 2019"
"KLINGLE VALLEY","DIELDRIN",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"LUZON BRANCH","DIELDRIN",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","DIELDRIN",NA,"","","14","13","2021","9","2021","9","2021 (D)","0","Yes","2018 - 2021"
"NASH RUN","DIELDRIN",NA,"","","7","3","2019","1","2014","1","2014 (D)","3","No (D)","Never (D)"
"NORMANSTONE CREEK","DIELDRIN",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"OXON RUN","DIELDRIN",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"PINEHURST BRANCH","DIELDRIN",NA,"","","2","0","2013","2","2013","2","2013 (D)","0","No (D)","Never (D)"
"PINEY BRANCH","DIELDRIN",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"POPE BRANCH","DIELDRIN",NA,"","","7","4","2019","2","2018","2","2018 (D)","1","Yes","2018 - 2021"
"PORTAL BRANCH","DIELDRIN",NA,"","","2","0","2013","2","2013","2","2013 (D)","0","Yes","2013 - 2016"
"POTOMAC LOWER","DIELDRIN",NA,"","","13","13","2021","1","2020","1","2020 (D)","9","No (D)","Never (D)"
"POTOMAC MIDDLE","DIELDRIN",NA,"","","13","13","2021","2","2020","2","2020 (D)","9","Yes","2018 - 2021"
"POTOMAC UPPER","DIELDRIN",NA,"","","13","13","2021","1","2021","1","2021 (D)","0","No (D)","Never (D)"
"ROCK CREEK LOWER","DIELDRIN",NA,"","","14","13","2021","5","2021","5","2021 (D)","3","Yes","2018 - 2021"
"ROCK CREEK UPPER","DIELDRIN",NA,"","","19","0","2000","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","DIELDRIN",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","DIELDRIN",NA,"","","6","3","2019","5","2018","5","2018 (D)","1","Yes","2018 - 2021"
"TIDAL BASIN","DIELDRIN",NA,"","","3","0","2014","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","DIELDRIN",NA,"","","19","12","2016","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","DIELDRIN",NA,"","","7","4","2019","4","2019","4","2019 (D)","0","Yes","2018 - 2021"
"WATTS BRANCH UPPER","DIELDRIN",NA,"","","13","13","2021","4","2021","4","2021 (D)","0","Yes","2018 - 2021"
"BATTERY KEMBLE CREEK","DIELDRIN",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","DIELDRIN",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","DIELDRIN",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","DIELDRIN",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","DIELDRIN",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","HEPTACHLOR_EPOXIDE",NA,"","","52","40","2021","1","2020","1","2020 (D)","9","No (D)","Never (D)"
"ANACOSTIA UPPER","HEPTACHLOR_EPOXIDE",NA,"","","105","86","2019","23","2019","23","2019 (D)","0","Yes","2018 - 2021"
"BROAD BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","14","13","2021","8","2021","8","2021 (D)","2","Yes","2018 - 2021"
"DALECARLIA TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"DUMBARTON OAKS","HEPTACHLOR_EPOXIDE",NA,"","","15","13","2021","11","2021","11","2021 (D)","2","Yes","2018 - 2021"
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","1","2021","1","2021 (D)","5","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","17","13","2021","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","HEPTACHLOR_EPOXIDE",NA,"","","6","3","2019","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE",NA,"","","25","15","2019","1","2016","1","2016 (D)","11","No (D)","Never (D)"
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"LUZON BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","14","13","2021","2","2021","2","2021 (D)","4","Yes","2018 - 2021"
"NASH RUN","HEPTACHLOR_EPOXIDE",NA,"","","7","3","2019","2","2014","2","2014 (D)","3","Yes","2013 - 2016"
"NORMANSTONE CREEK","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"OXON RUN","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"PINEY BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"POPE BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","7","4","2019","3","2014","3","2014 (D)","4","Yes","2013 - 2016"
"PORTAL BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","2","0","2013","2","2013","2","2013 (D)","0","Yes","2013 - 2016"
"POTOMAC LOWER","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","1","2020","1","2020 (D)","9","No (D)","Never (D)"
"POTOMAC UPPER","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","1","2020","1","2020 (D)","7","No (D)","Never (D)"
"ROCK CREEK LOWER","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","7","2021","7","2021 (D)","2","Yes","2018 - 2021"
"ROCK CREEK UPPER","HEPTACHLOR_EPOXIDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","1","2013 (D)","0","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","6","3","2019","3","2018","3","2018 (D)","2","Yes","2013 - 2016"
"TIDAL BASIN","HEPTACHLOR_EPOXIDE",NA,"","","3","0","2014","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","HEPTACHLOR_EPOXIDE",NA,"","","19","12","2016","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","HEPTACHLOR_EPOXIDE",NA,"","","7","4","2019","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","1","2021","1","2021 (D)","2","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","HEPTACHLOR_EPOXIDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","HEPTACHLOR_EPOXIDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","PAH1",NA,"","","52","40","2021","1","2016","0","Never (D)","0","No (D)","Never (D)"
"ANACOSTIA UPPER","PAH1",NA,"","","56","37","2019","3","2014","0","Never (D)","0","No (D)","Never (D)"
"BROAD BRANCH","PAH1",NA,"","","15","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"DALECARLIA TRIBUTARY","PAH1",NA,"","","1","0","2013","1","2013","0","Never (D)","0","No (D)","Never (D)"
"DUMBARTON OAKS","PAH1",NA,"","","16","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"FENWICK BRANCH","PAH1",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","PAH1",NA,"","","13","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","PAH1",NA,"","","20","16","2021","1","2014","0","Never (D)","0","No (D)","Never (D)"
"HICKEY RUN","PAH1",NA,"","","6","3","2019","2","2014","0","Never (D)","0","No (D)","Never (D)"
"KINGMAN LAKE","PAH1",NA,"","","25","15","2019","3","2016","0","Never (D)","0","No (D)","Never (D)"
"KLINGLE VALLEY","PAH1",NA,"","","1","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"LUZON BRANCH","PAH1",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
