"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"ANACOSTIA LOWER","ARSENIC","TOTAL","","","93","40","2021","52","2021","52","2021 (D)","0","Yes","2018 - 2021"
"ANACOSTIA UPPER","ARSENIC","TOTAL","","","171","37","2019","56","2019","56","2019 (D)","0","Yes","2018 - 2021"
"BROAD BRANCH","ARSENIC","TOTAL","","","37","13","2021","10","2021","10","2021 (D)","0","Yes","2018 - 2021"
"DALECARLIA TRIBUTARY","ARSENIC","TOTAL","","","39","0","2012","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","ARSENIC","TOTAL","","","37","13","2021","8","2021","8","2021 (D)","0","Yes","2018 - 2021"
"FENWICK BRANCH","ARSENIC","TOTAL","","","24","0","2012","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","ARSENIC","TOTAL","","","45","16","2021","14","2021","14","2021 (D)","0","Yes","2018 - 2021"
"FORT STANTON TRIBUTARY","ARSENIC","TOTAL","","","56","16","2021","14","2021","14","2021 (D)","0","Yes","2018 - 2021"
"HICKEY RUN","ARSENIC","TOTAL","","","41","1","2017","1","2017","1","2017 (D)","0","No (D)","Never (D)"
"KINGMAN LAKE","ARSENIC","TOTAL","","","90","15","2019","22","2019","22","2019 (D)","0","Yes","2018 - 2021"
"KLINGLE VALLEY","ARSENIC","TOTAL","","","22","0","2012","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","ARSENIC","TOTAL","","","22","0","2012","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","TOTAL","","","38","13","2021","7","2021","7","2021 (D)","0","Yes","2018 - 2021"
"NASH RUN","ARSENIC","TOTAL","","","31","3","2019","6","2019","6","2019 (D)","0","Yes","2018 - 2021"
"NORMANSTONE CREEK","ARSENIC","TOTAL","","","24","0","2012","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","ARSENIC","TOTAL","","","36","0","2013","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","ARSENIC","TOTAL","","","24","0","2012","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","ARSENIC","TOTAL","","","25","0","2013","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","ARSENIC","TOTAL","","","22","1","2017","1","2017","1","2017 (D)","0","No (D)","Never (D)"
"PORTAL BRANCH","ARSENIC","TOTAL","","","24","0","2012","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","ARSENIC","TOTAL","","","170","13","2021","13","2021","13","2021 (D)","0","Yes","2018 - 2021"
"POTOMAC MIDDLE","ARSENIC","TOTAL","","","93","13","2021","11","2021","11","2021 (D)","0","Yes","2018 - 2021"
"POTOMAC UPPER","ARSENIC","TOTAL","","","50","13","2021","12","2021","12","2021 (D)","0","Yes","2018 - 2021"
"ROCK CREEK LOWER","ARSENIC","TOTAL","","","57","13","2021","10","2021","10","2021 (D)","0","Yes","2018 - 2021"
"ROCK CREEK UPPER","ARSENIC","TOTAL","","","47","0","2012","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","ARSENIC","TOTAL","","","23","0","2012","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","ARSENIC","TOTAL","","","39","3","2019","7","2019","7","2019 (D)","0","Yes","2018 - 2021"
"TIDAL BASIN","ARSENIC","TOTAL","","","48","0","2012","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","ARSENIC","TOTAL","","","55","12","2016","17","2016","17","2016 (D)","0","Yes","2016 - 2019"
"WATTS BRANCH LOWER","ARSENIC","TOTAL","","","41","3","2017","3","2017","3","2017 (D)","0","Yes","2017 - 2020"
"WATTS BRANCH UPPER","ARSENIC","TOTAL","","","92","13","2021","11","2021","11","2021 (D)","0","Yes","2018 - 2021"
"BATTERY KEMBLE CREEK","ARSENIC","TOTAL","","","42","0","2013","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","ARSENIC","TOTAL","","","69","0","2012","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","ARSENIC","TOTAL","","","42","3","2019","6","2019","6","2019 (D)","0","Yes","2018 - 2021"
"FORT DAVIS TRIBUTARY","ARSENIC","TOTAL","","","45","3","2019","6","2019","6","2019 (D)","0","Yes","2018 - 2021"
"FOUNDRY BRANCH","ARSENIC","TOTAL","","","10","0","2013","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","COPPER","TOTAL","","","52","40","2021","52","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA UPPER","COPPER","TOTAL","","","56","37","2019","56","2019","0","Never (D)","0 (D)","No (D)","Never (D)"
"BROAD BRANCH","COPPER","TOTAL","","","13","13","2021","13","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"DALECARLIA TRIBUTARY","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","COPPER","TOTAL","","","13","13","2021","12","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"FENWICK BRANCH","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","COPPER","TOTAL","","","19","16","2021","19","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","COPPER","TOTAL","","","20","16","2021","20","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","COPPER","TOTAL","","","1","1","2017","1","2017","0","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","COPPER","TOTAL","","","25","15","2019","25","2019","0","Never (D)","0 (D)","No (D)","Never (D)"
"KLINGLE VALLEY","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","COPPER","TOTAL","","","13","13","2021","11","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"NASH RUN","COPPER","TOTAL","","","7","3","2019","7","2019","0","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","COPPER","TOTAL","","","1","0","2013","1","2013","0","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","COPPER","TOTAL","","","1","0","2013","1","2013","0","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","COPPER","TOTAL","","","1","1","2017","1","2017","0","Never (D)","0 (D)","No (D)","Never (D)"
"PORTAL BRANCH","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","COPPER","TOTAL","","","13","13","2021","13","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","COPPER","TOTAL","","","13","13","2021","12","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","COPPER","TOTAL","","","13","13","2021","11","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","COPPER","TOTAL","","","13","13","2021","13","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK UPPER","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","COPPER","TOTAL","","","6","3","2019","6","2019","0","Never (D)","0 (D)","No (D)","Never (D)"
"TIDAL BASIN","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","COPPER","TOTAL","","","16","12","2016","16","2016","0","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","COPPER","TOTAL","","","3","3","2017","3","2017","0","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","COPPER","TOTAL","","","13","13","2021","13","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","COPPER","TOTAL","","","1","0","2013","1","2013","0","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","COPPER","TOTAL","","","6","3","2019","6","2019","0","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","COPPER","TOTAL","","","6","3","2019","5","2019","0","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","COPPER","TOTAL","","","2","0","2013","2","2013","0","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","MERCURY","TOTAL","","","62","37","2021","4","2016","1","1991 (D)","59","No (D)","Never (D)"
"ANACOSTIA UPPER","MERCURY","TOTAL","","","70","18","2016","3","2016","2","1994 (D)","45","No (D)","Never (D)"
"BROAD BRANCH","MERCURY","TOTAL","","","13","13","2021","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"DALECARLIA TRIBUTARY","MERCURY","TOTAL","","","10","0","1995","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","MERCURY","TOTAL","","","13","13","2021","1","2020","1","2020 (D)","10","No (D)","Never (D)"
"FENWICK BRANCH","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","MERCURY","TOTAL","","","14","13","2021","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","MERCURY","TOTAL","","","24","13","2021","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","MERCURY","TOTAL","","","112","100","2021","100","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","MERCURY","TOTAL","","","33","12","2016","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"KLINGLE VALLEY","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","MERCURY","TOTAL","","","13","13","2021","1","2020","0","Never (D)","0 (D)","No (D)","Never (D)"
"NASH RUN","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","MERCURY","TOTAL","","","11","0","1995","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","MERCURY","TOTAL","","","1","1","2017","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"PORTAL BRANCH","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","MERCURY","TOTAL","","","65","13","2021","1","1994","1","1994 (D)","34","No (D)","Never (D)"
"POTOMAC MIDDLE","MERCURY","TOTAL","","","39","13","2021","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","MERCURY","TOTAL","","","26","13","2021","1","1994","1","1994 (D)","18","No (D)","Never (D)"
"ROCK CREEK LOWER","MERCURY","TOTAL","","","22","13","2021","1","1991","1","1991 (D)","21","No (D)","Never (D)"
"ROCK CREEK UPPER","MERCURY","TOTAL","","","113","102","2021","104","2021","1","1991 (D)","111","No (D)","Never (D)"
"SOAPSTONE CREEK","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","MERCURY","TOTAL","","","11","0","1995","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"TIDAL BASIN","MERCURY","TOTAL","","","10","0","1995","1","1991","1","1991 (D)","8","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","MERCURY","TOTAL","","","29","12","2016","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","MERCURY","TOTAL","","","14","3","2017","1","2017","0","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","MERCURY","TOTAL","","","137","114","2021","101","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","MERCURY","TOTAL","","","10","0","1995","2","1994","2","1994 (D)","4","No (D)","Never (D)"
"C&O CANAL","MERCURY","TOTAL","","","15","0","1995","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","MERCURY","TOTAL","","","5","0","1995","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","MERCURY","TOTAL","","","11","0","1995","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","MERCURY","TOTAL","","","7","0","1995","1","1991","1","1991 (D)","5","No (D)","Never (D)"
"ANACOSTIA LOWER","ZINC","TOTAL","","","79","40","2021","56","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA UPPER","ZINC","TOTAL","","","123","37","2019","89","2019","0","Never (D)","0 (D)","No (D)","Never (D)"
"BROAD BRANCH","ZINC","TOTAL","","","23","13","2021","4","2020","0","Never (D)","0 (D)","No (D)","Never (D)"
"DALECARLIA TRIBUTARY","ZINC","TOTAL","","","24","0","2002","7","2001","0","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","ZINC","TOTAL","","","24","13","2021","12","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"FENWICK BRANCH","ZINC","TOTAL","","","11","0","2002","2","2001","0","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","ZINC","TOTAL","","","31","16","2021","26","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","ZINC","TOTAL","","","43","16","2021","32","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","ZINC","TOTAL","","","28","1","2017","20","2017","0","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","ZINC","TOTAL","","","65","15","2019","55","2019","0","Never (D)","0 (D)","No (D)","Never (D)"
"KLINGLE VALLEY","ZINC","TOTAL","","","9","0","2002","0","Never","0","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","ZINC","TOTAL","","","8","0","2002","3","2002","0","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","ZINC","TOTAL","","","23","13","2021","7","2021","0","Never (D)","0 (D)","No (D)","Never (D)"
