"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL",NA,"","","105","86","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BROAD BRANCH","CHLORDANE_TECHNICAL",NA,"","","14","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DALECARLIA TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","CHLORDANE_TECHNICAL",NA,"","","15","13","2021","2","2021","2 (D)","2021 (D)","4 (D)","Yes (D)","2018 - 2021 (D)"
"FENWICK BRANCH","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","17","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","CHLORDANE_TECHNICAL",NA,"","","6","3","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","CHLORDANE_TECHNICAL",NA,"","","25","15","2019","1","2014","1 (D)","2014 (D)","20 (D)","No (D)","Never (D)"
"KLINGLE VALLEY","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","CHLORDANE_TECHNICAL",NA,"","","14","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NASH RUN","CHLORDANE_TECHNICAL",NA,"","","7","3","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","CHLORDANE_TECHNICAL",NA,"","","7","4","2019","1","2013","1 (D)","2013 (D)","5 (D)","No (D)","Never (D)"
"PORTAL BRANCH","CHLORDANE_TECHNICAL",NA,"","","2","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","1","2020","1 (D)","2020 (D)","6 (D)","No (D)","Never (D)"
"ROCK CREEK UPPER","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","6","3","2019","1","2013","1 (D)","2013 (D)","4 (D)","No (D)","Never (D)"
"TIDAL BASIN","CHLORDANE_TECHNICAL",NA,"","","3","0","2014","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","CHLORDANE_TECHNICAL",NA,"","","19","12","2016","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","CHLORDANE_TECHNICAL",NA,"","","7","4","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","DDD",NA,"","","52","40","2021","3","2019","3 (D)","2019 (D)","13 (D)","Yes (D)","2016 - 2019 (D)"
"ANACOSTIA UPPER","DDD",NA,"","","105","86","2019","21","2019","21 (D)","2019 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"BROAD BRANCH","DDD",NA,"","","14","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DALECARLIA TRIBUTARY","DDD",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","DDD",NA,"","","15","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FENWICK BRANCH","DDD",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","DDD",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","DDD",NA,"","","17","13","2021","1","2020","1 (D)","2020 (D)","11 (D)","No (D)","Never (D)"
"HICKEY RUN","DDD",NA,"","","6","3","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","DDD",NA,"","","25","15","2019","3","2019","3 (D)","2019 (D)","0 (D)","Yes (D)","2016 - 2019 (D)"
"KLINGLE VALLEY","DDD",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","DDD",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","DDD",NA,"","","14","13","2021","1","2020","1 (D)","2020 (D)","9 (D)","No (D)","Never (D)"
"NASH RUN","DDD",NA,"","","7","3","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","DDD",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","DDD",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","DDD",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","DDD",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","DDD",NA,"","","7","4","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PORTAL BRANCH","DDD",NA,"","","2","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","DDD",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","DDD",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","DDD",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","DDD",NA,"","","13","13","2021","1","2020","1 (D)","2020 (D)","6 (D)","No (D)","Never (D)"
"ROCK CREEK UPPER","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","DDD",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","DDD",NA,"","","6","3","2019","6","2019","6 (D)","2019 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"TIDAL BASIN","DDD",NA,"","","3","0","2014","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","DDD",NA,"","","19","12","2016","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","DDD",NA,"","","7","4","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","DDD",NA,"","","13","13","2021","1","2021","1 (D)","2021 (D)","1 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","DDD",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","DDE",NA,"","","52","40","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA UPPER","DDE",NA,"","","105","86","2019","1","2018","1 (D)","2018 (D)","54 (D)","No (D)","Never (D)"
"BROAD BRANCH","DDE",NA,"","","14","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DALECARLIA TRIBUTARY","DDE",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","DDE",NA,"","","15","13","2021","1","2020","1 (D)","2020 (D)","10 (D)","No (D)","Never (D)"
"FENWICK BRANCH","DDE",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","DDE",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","DDE",NA,"","","17","13","2021","1","2020","1 (D)","2020 (D)","6 (D)","No (D)","Never (D)"
"HICKEY RUN","DDE",NA,"","","6","3","2019","1","2014","1 (D)","2014 (D)","3 (D)","No (D)","Never (D)"
"KINGMAN LAKE","DDE",NA,"","","25","15","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KLINGLE VALLEY","DDE",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","DDE",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","DDE",NA,"","","14","13","2021","1","2020","1 (D)","2020 (D)","9 (D)","No (D)","Never (D)"
"NASH RUN","DDE",NA,"","","7","3","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","DDE",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","DDE",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","DDE",NA,"","","2","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","DDE",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","DDE",NA,"","","7","4","2019","1","2014","1 (D)","2014 (D)","4 (D)","No (D)","Never (D)"
"PORTAL BRANCH","DDE",NA,"","","2","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","DDE",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","DDE",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","DDE",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","DDE",NA,"","","14","13","2021","2","2020","2 (D)","2020 (D)","6 (D)","Yes (D)","2018 - 2021 (D)"
"ROCK CREEK UPPER","DDE",NA,"","","19","0","2000","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","DDE",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","DDE",NA,"","","6","3","2019","3","2019","3 (D)","2019 (D)","0 (D)","Yes (D)","2013 - 2016 (D)"
"TIDAL BASIN","DDE",NA,"","","3","0","2014","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","DDE",NA,"","","19","12","2016","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","DDE",NA,"","","7","4","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","DDE",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","DDE",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","DDT",NA,"","","52","40","2021","5","2021","5 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"ANACOSTIA UPPER","DDT",NA,"","","105","86","2019","16","2018","16 (D)","2018 (D)","23 (D)","Yes (D)","2018 - 2021 (D)"
"BROAD BRANCH","DDT",NA,"","","14","13","2021","2","2021","2 (D)","2021 (D)","3 (D)","Yes (D)","2018 - 2021 (D)"
"DALECARLIA TRIBUTARY","DDT",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","DDT",NA,"","","15","13","2021","3","2020","3 (D)","2020 (D)","9 (D)","Yes (D)","2018 - 2021 (D)"
"FENWICK BRANCH","DDT",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","DDT",NA,"","","13","13","2021","1","2020","1 (D)","2020 (D)","9 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","DDT",NA,"","","17","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","DDT",NA,"","","6","3","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","DDT",NA,"","","25","15","2019","3","2016","3 (D)","2016 (D)","3 (D)","Yes (D)","2016 - 2019 (D)"
"KLINGLE VALLEY","DDT",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","DDT",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","DDT",NA,"","","14","13","2021","2","2020","2 (D)","2020 (D)","10 (D)","Yes (D)","2018 - 2021 (D)"
"NASH RUN","DDT",NA,"","","7","3","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","DDT",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","DDT",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","DDT",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","DDT",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","DDT",NA,"","","7","4","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PORTAL BRANCH","DDT",NA,"","","2","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","DDT",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","DDT",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","DDT",NA,"","","13","13","2021","1","2021","1 (D)","2021 (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","DDT",NA,"","","13","13","2021","1","2020","1 (D)","2020 (D)","6 (D)","No (D)","Never (D)"
"ROCK CREEK UPPER","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","DDT",NA,"","","1","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","DDT",NA,"","","6","3","2019","1","2014","1 (D)","2014 (D)","3 (D)","No (D)","Never (D)"
"TIDAL BASIN","DDT",NA,"","","3","0","2014","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","DDT",NA,"","","19","12","2016","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","DDT",NA,"","","7","4","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","DDT",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","DDT",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","DIELDRIN",NA,"","","52","40","2021","2","2021","2 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"ANACOSTIA UPPER","DIELDRIN",NA,"","","105","86","2019","38","2019","38 (D)","2019 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"BROAD BRANCH","DIELDRIN",NA,"","","14","13","2021","9","2021","9 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"DALECARLIA TRIBUTARY","DIELDRIN",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","DIELDRIN",NA,"","","15","13","2021","14","2021","14 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"FENWICK BRANCH","DIELDRIN",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","DIELDRIN",NA,"","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","DIELDRIN",NA,"","","17","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","DIELDRIN",NA,"","","6","3","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","DIELDRIN",NA,"","","25","15","2019","2","2018","2 (D)","2018 (D)","2 (D)","Yes (D)","2016 - 2019 (D)"
"KLINGLE VALLEY","DIELDRIN",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","DIELDRIN",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","DIELDRIN",NA,"","","14","13","2021","9","2021","9 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"NASH RUN","DIELDRIN",NA,"","","7","3","2019","1","2014","1 (D)","2014 (D)","3 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","DIELDRIN",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","DIELDRIN",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","DIELDRIN",NA,"","","2","0","2013","2","2013","2 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","DIELDRIN",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","DIELDRIN",NA,"","","7","4","2019","2","2018","2 (D)","2018 (D)","1 (D)","Yes (D)","2018 - 2021 (D)"
"PORTAL BRANCH","DIELDRIN",NA,"","","2","0","2013","2","2013","2 (D)","2013 (D)","0 (D)","Yes (D)","2013 - 2016 (D)"
"POTOMAC LOWER","DIELDRIN",NA,"","","13","13","2021","1","2020","1 (D)","2020 (D)","9 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","DIELDRIN",NA,"","","13","13","2021","2","2020","2 (D)","2020 (D)","9 (D)","Yes (D)","2018 - 2021 (D)"
"POTOMAC UPPER","DIELDRIN",NA,"","","13","13","2021","1","2021","1 (D)","2021 (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","DIELDRIN",NA,"","","14","13","2021","5","2021","5 (D)","2021 (D)","3 (D)","Yes (D)","2018 - 2021 (D)"
"ROCK CREEK UPPER","DIELDRIN",NA,"","","19","0","2000","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","DIELDRIN",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","DIELDRIN",NA,"","","6","3","2019","5","2018","5 (D)","2018 (D)","1 (D)","Yes (D)","2018 - 2021 (D)"
"TIDAL BASIN","DIELDRIN",NA,"","","3","0","2014","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","DIELDRIN",NA,"","","19","12","2016","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","DIELDRIN",NA,"","","7","4","2019","4","2019","4 (D)","2019 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"WATTS BRANCH UPPER","DIELDRIN",NA,"","","13","13","2021","4","2021","4 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"BATTERY KEMBLE CREEK","DIELDRIN",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","DIELDRIN",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","DIELDRIN",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","DIELDRIN",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","DIELDRIN",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","HEPTACHLOR_EPOXIDE",NA,"","","52","40","2021","1","2020","1 (D)","2020 (D)","9 (D)","No (D)","Never (D)"
"ANACOSTIA UPPER","HEPTACHLOR_EPOXIDE",NA,"","","105","86","2019","23","2019","23 (D)","2019 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"BROAD BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","14","13","2021","8","2021","8 (D)","2021 (D)","2 (D)","Yes (D)","2018 - 2021 (D)"
"DALECARLIA TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","HEPTACHLOR_EPOXIDE",NA,"","","15","13","2021","11","2021","11 (D)","2021 (D)","2 (D)","Yes (D)","2018 - 2021 (D)"
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","1","2021","1 (D)","2021 (D)","5 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","17","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","HEPTACHLOR_EPOXIDE",NA,"","","6","3","2019","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE",NA,"","","25","15","2019","1","2016","1 (D)","2016 (D)","11 (D)","No (D)","Never (D)"
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","1 (D)","2013 (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","14","13","2021","2","2021","2 (D)","2021 (D)","4 (D)","Yes (D)","2018 - 2021 (D)"
"NASH RUN","HEPTACHLOR_EPOXIDE",NA,"","","7","3","2019","2","2014","2 (D)","2014 (D)","3 (D)","Yes (D)","2013 - 2016 (D)"
