"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"DUMBARTON OAKS","COPPER","TOTAL","","","13","13","2021","12","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FENWICK BRANCH","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","COPPER","TOTAL","","","19","16","2021","19","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","COPPER","TOTAL","","","20","16","2021","20","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","COPPER","TOTAL","","","1","1","2017","1","2017","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","COPPER","TOTAL","","","25","15","2019","25","2019","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KLINGLE VALLEY","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","COPPER","TOTAL","","","13","13","2021","11","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NASH RUN","COPPER","TOTAL","","","7","3","2019","7","2019","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","COPPER","TOTAL","","","1","0","2013","1","2013","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","COPPER","TOTAL","","","1","0","2013","1","2013","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","COPPER","TOTAL","","","1","1","2017","1","2017","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PORTAL BRANCH","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","COPPER","TOTAL","","","13","13","2021","13","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","COPPER","TOTAL","","","13","13","2021","12","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","COPPER","TOTAL","","","13","13","2021","11","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","COPPER","TOTAL","","","13","13","2021","13","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK UPPER","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","COPPER","TOTAL","","","6","3","2019","6","2019","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TIDAL BASIN","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","COPPER","TOTAL","","","16","12","2016","16","2016","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","COPPER","TOTAL","","","3","3","2017","3","2017","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","COPPER","TOTAL","","","13","13","2021","13","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","COPPER","TOTAL","","","1","0","2013","1","2013","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","COPPER","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","COPPER","TOTAL","","","6","3","2019","6","2019","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","COPPER","TOTAL","","","6","3","2019","5","2019","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","COPPER","TOTAL","","","2","0","2013","2","2013","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","MERCURY","TOTAL","","","62","37","2021","4","2016","1 (D)","1991 (D)","59 (D)","No (D)","Never (D)"
"ANACOSTIA UPPER","MERCURY","TOTAL","","","70","18","2016","3","2016","2 (D)","1994 (D)","45 (D)","No (D)","Never (D)"
"BROAD BRANCH","MERCURY","TOTAL","","","13","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
