"","waterbody_segment","pollutant_name","test_fraction","pollutant_group","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance","n_samples_2011_to_2021","most_recent_sample_2011_to_2021","n_detects_2011_to_2021","most_recent_detect_2011_to_2021","n_ccc_exceedance_2011_to_2021","n_cmc_exceedance_2011_to_2021","n_d_exceedance_2011_to_2021","n_samples_2016_to_2021","most_recent_sample_2016_to_2021","n_detects_2016_to_2021","most_recent_detect_2016_to_2021","n_ccc_exceedance_2016_to_2021","n_cmc_exceedance_2016_to_2021","n_d_exceedance_2016_to_2021","current_category","ccc_dl_ratio","cmc_dl_ratio","d_dl_ratio","decision_case_number"
"191","HICKEY RUN","4_4_DDT",NA,"DDT",6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"3","greater than 1","less than 1","greater than 1",9
"192","KINGMAN LAKE","4_4_DDT",NA,"DDT",25,2019,3,"2016",13,2,0,3,2016-10-05,"2016",NA,"Never",2016-12-01,"2016",10,0,3,25,2019,3,"Never",2,0,3,15,2019,2,"Never",1,0,2,"3","greater than 1","less than 1","greater than 1",7
"193","KLINGLE VALLEY","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1",8
"194","LUZON BRANCH","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1",8
"195","MELVIN HAZEN VALLEY BRANCH","4_4_DDT",NA,"DDT",14,2021,2,"2020",14,2,0,2,2020-08-12,"2020",NA,"Never",2020-08-12,"2020",10,0,10,14,2021,2,"Never",2,0,2,13,2021,2,"Never",2,0,2,"3","greater than 1","less than 1","greater than 1",7
"196","NASH RUN","4_4_DDT",NA,"DDT",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"3","greater than 1","less than 1","greater than 1",9
"197","NORMANSTONE CREEK","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","greater than 1","less than 1","greater than 1",15
"198","OXON RUN","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1",8
"199","PINEHURST BRANCH","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1",8
"200","PINEY BRANCH","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1",8
"201","POPE BRANCH","4_4_DDT",NA,"DDT",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,"3","greater than 1","less than 1","greater than 1",9
"202","PORTAL BRANCH","4_4_DDT",NA,"DDT",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1",8
"203","POTOMAC LOWER","4_4_DDT",NA,"DDT",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","greater than 1","less than 1","greater than 1",15
"204","POTOMAC MIDDLE","4_4_DDT",NA,"DDT",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","greater than 1","less than 1","greater than 1",15
"205","POTOMAC UPPER","4_4_DDT",NA,"DDT",13,2021,1,"2021",13,1,0,1,2021-06-16,"2021",NA,"Never",2021-06-16,"2021",0,0,0,13,2021,1,"Never",1,0,1,13,2021,1,"Never",1,0,1,"Not Listed","greater than 1","less than 1","greater than 1",14
"206","ROCK CREEK LOWER","4_4_DDT",NA,"DDT",13,2021,1,"2020",13,1,0,1,2020-12-08,"2020",NA,"Never",2020-12-08,"2020",6,0,6,13,2021,1,"Never",1,0,1,13,2021,1,"Never",1,0,1,"Not Listed","greater than 1","less than 1","greater than 1",14
"207","SOAPSTONE CREEK","4_4_DDT",NA,"DDT",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1",8
"208","TEXAS AVENUE TRIBUTARY","4_4_DDT",NA,"DDT",6,2019,1,"2014",6,1,0,1,2014-01-12,"2014",NA,"Never",2014-01-12,"2014",3,0,3,6,2019,1,"Never",1,0,1,3,2019,0,"Never",0,0,0,"4a","greater than 1","less than 1","greater than 1",1
"209","TIDAL BASIN","4_4_DDT",NA,"DDT",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","greater than 1","less than 1","greater than 1",8
"210","WASHINGTON SHIP CHANNEL","4_4_DDT",NA,"DDT",19,2016,0,"Never",7,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2016,0,"Never",0,0,0,12,2016,0,"Never",0,0,0,"3","greater than 1","less than 1","greater than 1",9
"211","WATTS BRANCH LOWER","4_4_DDT",NA,"DDT",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,"3","greater than 1","less than 1","greater than 1",9
"212","WATTS BRANCH UPPER","4_4_DDT",NA,"DDT",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","greater than 1","less than 1","greater than 1",9
"213","ANACOSTIA LOWER","ACENAPHTHENE",NA,"PAH1",52,2021,0,"Never",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,52,2021,0,"Never",0,0,0,40,2021,0,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"214","ANACOSTIA UPPER","ACENAPHTHENE",NA,"PAH1",56,2019,2,"2014",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,56,2019,2,"Never",0,0,0,37,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"215","BROAD BRANCH","ACENAPHTHENE",NA,"PAH1",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1",15
"216","DALECARLIA TRIBUTARY","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"217","DUMBARTON OAKS","ACENAPHTHENE",NA,"PAH1",15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","less than 1","NA","less than 1",10
"218","FENWICK BRANCH","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"219","FORT DUPONT TRIBUTARY","ACENAPHTHENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1",15
"220","FORT STANTON TRIBUTARY","ACENAPHTHENE",NA,"PAH1",20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,0,"Never",0,0,0,16,2021,0,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"221","HICKEY RUN","ACENAPHTHENE",NA,"PAH1",6,2019,2,"2014",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,2,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"222","KINGMAN LAKE","ACENAPHTHENE",NA,"PAH1",25,2019,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,25,2019,0,"Never",0,0,0,15,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"223","KLINGLE VALLEY","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"224","LUZON BRANCH","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"225","MELVIN HAZEN VALLEY BRANCH","ACENAPHTHENE",NA,"PAH1",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","less than 1","NA","less than 1",10
"226","NASH RUN","ACENAPHTHENE",NA,"PAH1",7,2019,2,"2014",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,2,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"227","NORMANSTONE CREEK","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","NA","less than 1",15
"228","OXON RUN","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"229","PINEHURST BRANCH","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"230","PINEY BRANCH","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"231","POPE BRANCH","ACENAPHTHENE",NA,"PAH1",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"232","PORTAL BRANCH","ACENAPHTHENE",NA,"PAH1",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"233","POTOMAC LOWER","ACENAPHTHENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1",15
"234","POTOMAC MIDDLE","ACENAPHTHENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1",15
"235","POTOMAC UPPER","ACENAPHTHENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1",15
"236","ROCK CREEK LOWER","ACENAPHTHENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1",15
"237","SOAPSTONE CREEK","ACENAPHTHENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"238","TEXAS AVENUE TRIBUTARY","ACENAPHTHENE",NA,"PAH1",6,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"239","TIDAL BASIN","ACENAPHTHENE",NA,"PAH1",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"240","WASHINGTON SHIP CHANNEL","ACENAPHTHENE",NA,"PAH1",19,2016,0,"Never",7,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2016,0,"Never",0,0,0,12,2016,0,"Never",0,0,0,"3","less than 1","NA","less than 1",10
"241","WATTS BRANCH LOWER","ACENAPHTHENE",NA,"PAH1",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"242","WATTS BRANCH UPPER","ACENAPHTHENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","less than 1","NA","less than 1",10
"243","ANACOSTIA LOWER","BENZO_A_ANTHRACENE",NA,"PAH2",52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",0,0,18,52,2021,2,"Never",0,0,2,40,2021,2,"Never",0,0,2,"4a","NA","NA","greater than 1",1
"244","ANACOSTIA UPPER","BENZO_A_ANTHRACENE",NA,"PAH2",56,2019,5,"2016",14,0,0,5,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,28,56,2019,5,"Never",0,0,5,37,2019,2,"Never",0,0,2,"4a","NA","NA","greater than 1",1
"245","BROAD BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","greater than 1",15
"246","DALECARLIA TRIBUTARY","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"247","DUMBARTON OAKS","BENZO_A_ANTHRACENE",NA,"PAH2",15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1",9
"248","FENWICK BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"249","FORT DUPONT TRIBUTARY","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","greater than 1",15
"250","FORT STANTON TRIBUTARY","BENZO_A_ANTHRACENE",NA,"PAH2",20,2021,1,"2014",19,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,16,20,2021,1,"Never",0,0,1,16,2021,0,"Never",0,0,0,"4a","NA","NA","greater than 1",1
"251","HICKEY RUN","BENZO_A_ANTHRACENE",NA,"PAH2",6,2019,2,"2014",5,0,0,2,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,3,6,2019,2,"Never",0,0,2,3,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1",1
"252","KINGMAN LAKE","BENZO_A_ANTHRACENE",NA,"PAH2",25,2019,3,"2016",13,0,0,3,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,10,25,2019,3,"Never",0,0,3,15,2019,1,"Never",0,0,1,"4a","NA","NA","greater than 1",1
"253","KLINGLE VALLEY","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"254","LUZON BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"255","MELVIN HAZEN VALLEY BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1",9
"256","NASH RUN","BENZO_A_ANTHRACENE",NA,"PAH2",7,2019,3,"2018",6,0,0,3,NA,"Never",NA,"Never",2018-10-12,"2018",0,0,1,7,2019,3,"Never",0,0,3,3,2019,1,"Never",0,0,1,"4a","NA","NA","greater than 1",1
"257","NORMANSTONE CREEK","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","NA","NA","greater than 1",15
"258","OXON RUN","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"259","PINEHURST BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"260","PINEY BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"261","POPE BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",7,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,4,7,2019,1,"Never",0,0,1,4,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1",1
"262","PORTAL BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"263","POTOMAC LOWER","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","greater than 1",15
"264","POTOMAC MIDDLE","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",0,0,10,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","greater than 1",14
"265","POTOMAC UPPER","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",0,0,9,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","greater than 1",14
"266","ROCK CREEK LOWER","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-07-09,"2020",0,0,11,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","greater than 1",14
"267","SOAPSTONE CREEK","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"268","TEXAS AVENUE TRIBUTARY","BENZO_A_ANTHRACENE",NA,"PAH2",6,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,3,6,2019,1,"Never",0,0,1,3,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1",1
"269","TIDAL BASIN","BENZO_A_ANTHRACENE",NA,"PAH2",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"270","WASHINGTON SHIP CHANNEL","BENZO_A_ANTHRACENE",NA,"PAH2",19,2016,2,"2016",7,0,0,2,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,4,19,2016,2,"Never",0,0,2,12,2016,2,"Never",0,0,2,"3","NA","NA","greater than 1",7
"271","WATTS BRANCH LOWER","BENZO_A_ANTHRACENE",NA,"PAH2",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"272","WATTS BRANCH UPPER","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1",9
"273","ANACOSTIA LOWER","BENZO_A_PYRENE",NA,"PAH3",52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",0,0,18,52,2021,2,"Never",0,0,2,40,2021,2,"Never",0,0,2,"4a","NA","NA","greater than 1",1
"274","ANACOSTIA UPPER","BENZO_A_PYRENE",NA,"PAH3",56,2019,4,"2016",14,0,0,4,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,28,56,2019,4,"Never",0,0,4,37,2019,1,"Never",0,0,1,"4a","NA","NA","greater than 1",1
"275","BROAD BRANCH","BENZO_A_PYRENE",NA,"PAH3",15,2021,1,"2020",15,0,0,1,NA,"Never",NA,"Never",2020-10-07,"2020",0,0,8,14,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","greater than 1",14
"276","DALECARLIA TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"277","DUMBARTON OAKS","BENZO_A_PYRENE",NA,"PAH3",16,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1",9
"278","FENWICK BRANCH","BENZO_A_PYRENE",NA,"PAH3",2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"279","FORT DUPONT TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","greater than 1",15
"280","FORT STANTON TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,0,"Never",0,0,0,16,2021,0,"Never",0,0,0,"4a","NA","NA","greater than 1",2
"281","HICKEY RUN","BENZO_A_PYRENE",NA,"PAH3",6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1",2
"282","KINGMAN LAKE","BENZO_A_PYRENE",NA,"PAH3",25,2019,2,"2016",13,0,0,2,NA,"Never",NA,"Never",2016-06-15,"2016",0,0,15,25,2019,2,"Never",0,0,2,15,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1",1
"283","KLINGLE VALLEY","BENZO_A_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"284","LUZON BRANCH","BENZO_A_PYRENE",NA,"PAH3",3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"285","MELVIN HAZEN VALLEY BRANCH","BENZO_A_PYRENE",NA,"PAH3",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1",9
"286","NASH RUN","BENZO_A_PYRENE",NA,"PAH3",7,2019,2,"2018",6,0,0,2,NA,"Never",NA,"Never",2018-10-12,"2018",0,0,1,7,2019,2,"Never",0,0,2,3,2019,1,"Never",0,0,1,"4a","NA","NA","greater than 1",1
"287","NORMANSTONE CREEK","BENZO_A_PYRENE",NA,"PAH3",2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","NA","NA","greater than 1",15
