lower,upper
arsenic,Arsenic
chlordane,Chlordane
copper,Copper
ddd,DDD
dde,DDE
ddt,DDT
dieldrin,Dieldrin
heptachlor epoxide,Heptachlor Epoxide
mercury,Mercury
pah1,PAH1
pah2,PAH2
pah3,PAH3
tpcb,TPCB
zinc,Zinc
lead,Lead
