Lookup	Segment	parameter	ccc	cmc	d	min	max
Potomac Lowerddd	Potomac Lower	ddd	0.001	1.1	0.00031		
Potomac Lowerdde	Potomac Lower	dde	0.001	1.1	0.00022		
Potomac Lowerddt	Potomac Lower	ddt	0.001	1.1	0.00022		
Potomac Lowerdieldrin	Potomac Lower	dieldrin	0.056	0.24	0.000054		
Potomac Lowerheptachlor epoxide	Potomac Lower	heptachlor epoxide	0.0038	0.52	0.000039		
Potomac Lowerpah1	Potomac Lower	pah1	50	-	990		
Potomac Lowerpah2	Potomac Lower	pah2	400	-	0.018		
Potomac Lowerpah3	Potomac Lower	pah3	-	-	0.018		
Potomac Middlearsenic	Potomac Middle	arsenic	150	340	0.14		
Potomac Middlecopper	Potomac Middle	copper	11.35421395	17.45832298	-		
Potomac Middlelead	Potomac Middle	lead	3.400510786	87.26292184	-		
Potomac Middlemercury	Potomac Middle	mercury	0.77	1.4	0.15		
Potomac Middlezinc	Potomac Middle	zinc	149.4789181	148.2661074	-		
Potomac Middlechlordane	Potomac Middle	chlordane	0.0043	2.4	0.00081		
Potomac Middleddd	Potomac Middle	ddd	0.001	1.1	0.00031		
Potomac Middledde	Potomac Middle	dde	0.001	1.1	0.00022		
Potomac Middleddt	Potomac Middle	ddt	0.001	1.1	0.00022		
Potomac Middledieldrin	Potomac Middle	dieldrin	0.056	0.24	0.000054		
Potomac Middleheptachlor epoxide	Potomac Middle	heptachlor epoxide	0.0038	0.52	0.000039		
Potomac Middlepah1	Potomac Middle	pah1	50	-	990		
Potomac Middlepah2	Potomac Middle	pah2	400	-	0.018		
Potomac Middlepah3	Potomac Middle	pah3	-	-	0.018		
Potomac Upperarsenic	Potomac Upper	arsenic	150	340	0.14		
Potomac Uppercopper	Potomac Upper	copper	11.55955121	17.80677656	-		
Potomac Upperlead	Potomac Upper	lead	3.47830913	89.2593604	-		
Potomac Uppermercury	Potomac Upper	mercury	0.77	1.4	0.15		
Potomac Upperzinc	Potomac Upper	zinc	152.1592148	150.9246573	-		
Potomac Upperchlordane	Potomac Upper	chlordane	0.0043	2.4	0.00081		
Potomac Upperddd	Potomac Upper	ddd	0.001	1.1	0.00031		
Potomac Upperdde	Potomac Upper	dde	0.001	1.1	0.00022		
Potomac Upperddt	Potomac Upper	ddt	0.001	1.1	0.00022		
Potomac Upperdieldrin	Potomac Upper	dieldrin	0.056	0.24	0.000054		
Potomac Upperheptachlor epoxide	Potomac Upper	heptachlor epoxide	0.0038	0.52	0.000039		
Potomac Upperpah1	Potomac Upper	pah1	50	-	990		
Potomac Upperpah2	Potomac Upper	pah2	400	-	0.018		
Potomac Upperpah3	Potomac Upper	pah3	-	-	0.018		
Rock Creek Lowerarsenic	Rock Creek Lower	arsenic	150	340	0.14		
Rock Creek Lowercopper	Rock Creek Lower	copper	10.89211684	16.6765323	-		
Rock Creek Lowerlead	Rock Creek Lower	lead	3.226579187	82.79953959	-		
Rock Creek Lowermercury	Rock Creek Lower	mercury	0.77	1.4	0.15		
Rock Creek Lowerzinc	Rock Creek Lower	zinc	143.4455925	142.2817337	-		
Rock Creek Lowerchlordane	Rock Creek Lower	chlordane	0.0043	2.4	0.00081		
Rock Creek Lowerddd	Rock Creek Lower	ddd	0.001	1.1	0.00031		
Rock Creek Lowerdde	Rock Creek Lower	dde	0.001	1.1	0.00022		
Rock Creek Lowerddt	Rock Creek Lower	ddt	0.001	1.1	0.00022		
Rock Creek Lowerdieldrin	Rock Creek Lower	dieldrin	0.056	0.24	0.000054		
Rock Creek Lowerheptachlor epoxide	Rock Creek Lower	heptachlor epoxide	0.0038	0.52	0.000039		
Rock Creek Lowerpah1	Rock Creek Lower	pah1	50	-	990		
Rock Creek Lowerpah2	Rock Creek Lower	pah2	400	-	0.018		
Rock Creek Lowerpah3	Rock Creek Lower	pah3	-	-	0.018		
Rock Creek Upperarsenic	Rock Creek Upper	arsenic	150	340	0.14		
Rock Creek Uppercopper	Rock Creek Upper	copper	10.60106105	16.18585049	-		
Rock Creek Upperlead	Rock Creek Upper	lead	3.117869075	80.00985221	-		
Rock Creek Uppermercury	Rock Creek Upper	mercury	0.77	1.4	0.15		
Rock Creek Upperzinc	Rock Creek Upper	zinc	139.6443495	138.5113325	-		
Rock Creek Upperchlordane	Rock Creek Upper	chlordane	0.0043	2.4	0.00081		
Rock Creek Upperddd	Rock Creek Upper	ddd	0.001	1.1	0.00031		
Rock Creek Upperdde	Rock Creek Upper	dde	0.001	1.1	0.00022		
Rock Creek Upperddt	Rock Creek Upper	ddt	0.001	1.1	0.00022		
Rock Creek Upperdieldrin	Rock Creek Upper	dieldrin	0.056	0.24	0.000054		
Rock Creek Upperheptachlor epoxide	Rock Creek Upper	heptachlor epoxide	0.0038	0.52	0.000039		
Rock Creek Upperpah1	Rock Creek Upper	pah1	50	-	990		
Rock Creek Upperpah2	Rock Creek Upper	pah2	400	-	0.018		
Rock Creek Upperpah3	Rock Creek Upper	pah3	-	-	0.018		
Soapstone Creekarsenic	Soapstone Creek	arsenic	150	340	0.14		
Soapstone Creekcopper	Soapstone Creek	copper	10.74432187	16.42719894	-		
Soapstone Creeklead	Soapstone Creek	lead	3.171294367	81.38083656	-		
Soapstone Creekmercury	Soapstone Creek	mercury	0.77	1.4	0.15		
Soapstone Creekzinc	Soapstone Creek	zinc	141.515471	140.3672724	-		
Soapstone Creekchlordane	Soapstone Creek	chlordane	0.0043	2.4	0.00081		
Soapstone Creekddd	Soapstone Creek	ddd	0.001	1.1	0.00031		
Soapstone Creekdde	Soapstone Creek	dde	0.001	1.1	0.00022		
Soapstone Creekddt	Soapstone Creek	ddt	0.001	1.1	0.00022		
Soapstone Creekdieldrin	Soapstone Creek	dieldrin	0.056	0.24	0.000054		
Soapstone Creekheptachlor epoxide	Soapstone Creek	heptachlor epoxide	0.0038	0.52	0.000039		
Soapstone Creekpah1	Soapstone Creek	pah1	50	-	990		
Soapstone Creekpah2	Soapstone Creek	pah2	400	-	0.018		
Soapstone Creekpah3	Soapstone Creek	pah3	-	-	0.018		
Texas Avenue Tributaryarsenic	Texas Avenue Tributary	arsenic	150	340	0.14		
Texas Avenue Tributarycopper	Texas Avenue Tributary	copper	15.87207652	25.25863769	-		
Texas Avenue Tributarylead	Texas Avenue Tributary	lead	5.174776112	132.7936042	-		
Texas Avenue Tributarymercury	Texas Avenue Tributary	mercury	0.77	1.4	0.15		
Texas Avenue Tributaryzinc	Texas Avenue Tributary	zinc	208.3679108	206.677299	-		
Texas Avenue Tributarychlordane	Texas Avenue Tributary	chlordane	0.0043	2.4	0.00081		
Texas Avenue Tributaryddd	Texas Avenue Tributary	ddd	0.001	1.1	0.00031		
Texas Avenue Tributarydde	Texas Avenue Tributary	dde	0.001	1.1	0.00022		
Texas Avenue Tributaryddt	Texas Avenue Tributary	ddt	0.001	1.1	0.00022		
Texas Avenue Tributarydieldrin	Texas Avenue Tributary	dieldrin	0.056	0.24	0.000054		
Texas Avenue Tributaryheptachlor epoxide	Texas Avenue Tributary	heptachlor epoxide	0.0038	0.52	0.000039		
Texas Avenue Tributarypah1	Texas Avenue Tributary	pah1	50	-	990		
Texas Avenue Tributarypah2	Texas Avenue Tributary	pah2	400	-	0.018		
Texas Avenue Tributarypah3	Texas Avenue Tributary	pah3	-	-	0.018		
Tidal Basinarsenic	Tidal Basin	arsenic	150	340	0.14		
Tidal Basincopper	Tidal Basin	copper	11.61207749	17.89601524	-		
Tidal Basinlead	Tidal Basin	lead	3.498259586	89.77132322	-		
Tidal Basinmercury	Tidal Basin	mercury	0.77	1.4	0.15		
Tidal Basinzinc	Tidal Basin	zinc	152.8447832	151.6046633	-		
Tidal Basinchlordane	Tidal Basin	chlordane	0.0043	2.4	0.00081		
Tidal Basinddd	Tidal Basin	ddd	0.001	1.1	0.00031		
Tidal Basindde	Tidal Basin	dde	0.001	1.1	0.00022		
Tidal Basinddt	Tidal Basin	ddt	0.001	1.1	0.00022		
Tidal Basindieldrin	Tidal Basin	dieldrin	0.056	0.24	0.000054		
Tidal Basinheptachlor epoxide	Tidal Basin	heptachlor epoxide	0.0038	0.52	0.000039		
Tidal Basinpah1	Tidal Basin	pah1	50	-	990		
Tidal Basinpah2	Tidal Basin	pah2	400	-	0.018		
Tidal Basinpah3	Tidal Basin	pah3	-	-	0.018		
Washington Ship Channelarsenic	Washington Ship Channel	arsenic	150	340	0.14		
Washington Ship Channelcopper	Washington Ship Channel	copper	10.99355771	16.84786663	-		
Washington Ship Channellead	Washington Ship Channel	lead	3.264622416	83.7757939	-		
Washington Ship Channelmercury	Washington Ship Channel	mercury	0.77	1.4	0.15		
Washington Ship Channelzinc	Washington Ship Channel	zinc	144.7702269	143.5956206	-		
Washington Ship Channelchlordane	Washington Ship Channel	chlordane	0.0043	2.4	0.00081		
Washington Ship Channelddd	Washington Ship Channel	ddd	0.001	1.1	0.00031		
Washington Ship Channeldde	Washington Ship Channel	dde	0.001	1.1	0.00022		
Washington Ship Channelddt	Washington Ship Channel	ddt	0.001	1.1	0.00022		
Washington Ship Channeldieldrin	Washington Ship Channel	dieldrin	0.056	0.24	0.000054		
Washington Ship Channelheptachlor epoxide	Washington Ship Channel	heptachlor epoxide	0.0038	0.52	0.000039		
Washington Ship Channelpah1	Washington Ship Channel	pah1	50	-	990		
Washington Ship Channelpah2	Washington Ship Channel	pah2	400	-	0.018		
Washington Ship Channelpah3	Washington Ship Channel	pah3	-	-	0.018		
Watts Brancharsenic	Watts Branch	arsenic	150	340	0.14		
Watts Branchcopper	Watts Branch	copper	12.47973959	19.37599009	-		
Watts Branchlead	Watts Branch	lead	3.8306162	98.30016229	-		
Watts Branchmercury	Watts Branch	mercury	0.77	1.4	0.15		
Watts Branchzinc	Watts Branch	zinc	164.1657375	162.833764	-		
Watts Branchchlordane	Watts Branch	chlordane	0.0043	2.4	0.00081		
Watts Branchddd	Watts Branch	ddd	0.001	1.1	0.00031		
Watts Branchdde	Watts Branch	dde	0.001	1.1	0.00022		
Watts Branchddt	Watts Branch	ddt	0.001	1.1	0.00022		
Watts Branchdieldrin	Watts Branch	dieldrin	0.056	0.24	0.000054		
Watts Branchheptachlor epoxide	Watts Branch	heptachlor epoxide	0.0038	0.52	0.000039		
Watts Branchpah1	Watts Branch	pah1	50	-	990		
Watts Branchpah2	Watts Branch	pah2	400	-	0.018		
Watts Branchpah3	Watts Branch	pah3	-	-	0.018		
Anacostia Lowertpcb	Anacostia Lower	tpcb	0.014	-	0.000064		
Anacostia Uppertpcb	Anacostia Upper	tpcb	0.014	-	0.000064		
Battery Kemble Creektpcb	Battery Kemble Creek	tpcb	0.014	-	0.000064		
Broad Branchtpcb	Broad Branch	tpcb	0.014	-	0.000064		
C&O Canaltpcb	C&O Canal	tpcb	0.014	-	0.000064		
Dalecarlia Tributarytpcb	Dalecarlia Tributary	tpcb	0.014	-	0.000064		
Dumbarton Oaks Tributarytpcb	Dumbarton Oaks Tributary	tpcb	0.014	-	0.000064		
Fenwick Branchtpcb	Fenwick Branch	tpcb	0.014	-	0.000064		
Fort Chaplin Tributarytpcb	Fort Chaplin Tributary	tpcb	0.014	-	0.000064		
Fort Davis Tributarytpcb	Fort Davis Tributary	tpcb	0.014	-	0.000064		
Fort Dupont Tributarytpcb	Fort Dupont Tributary	tpcb	0.014	-	0.000064		
Fort Stanton Tributarytpcb	Fort Stanton Tributary	tpcb	0.014	-	0.000064		
Foundry Branchtpcb	Foundry Branch	tpcb	0.014	-	0.000064		
Hickey Runtpcb	Hickey Run	tpcb	0.014	-	0.000064		
Kingman Laketpcb	Kingman Lake	tpcb	0.014	-	0.000064		
Klingle Valley Branchtpcb	Klingle Valley Branch	tpcb	0.014	-	0.000064		
Luzon Branchtpcb	Luzon Branch	tpcb	0.014	-	0.000064		
Melvin Hazen Valley Branchtpcb	Melvin Hazen Valley Branch	tpcb	0.014	-	0.000064		
Mills Creektpcb	Mills Creek	tpcb	0.014	-	0.000064		
Nash Runtpcb	Nash Run	tpcb	0.014	-	0.000064		
Normanstone Creektpcb	Normanstone Creek	tpcb	0.014	-	0.000064		
Oxon Runtpcb	Oxon Run	tpcb	0.014	-	0.000064		
Pinehurst Branchtpcb	Pinehurst Branch	tpcb	0.014	-	0.000064		
Piney Branchtpcb	Piney Branch	tpcb	0.014	-	0.000064		
Pope Branchtpcb	Pope Branch	tpcb	0.014	-	0.000064		
Portal Branchtpcb	Portal Branch	tpcb	0.014	-	0.000064		
Potomac Lowertpcb	Potomac Lower	tpcb	0.014	-	0.000064		
Potomac Middletpcb	Potomac Middle	tpcb	0.014	-	0.000064		
Potomac Uppertpcb	Potomac Upper	tpcb	0.014	-	0.000064		
Rock Creek Lowertpcb	Rock Creek Lower	tpcb	0.014	-	0.000064		
Rock Creek Uppertpcb	Rock Creek Upper	tpcb	0.014	-	0.000064		
Soapstone Creektpcb	Soapstone Creek	tpcb	0.014	-	0.000064		
Texas Avenue Tributarytpcb	Texas Avenue Tributary	tpcb	0.014	-	0.000064		
Tidal Basintpcb	Tidal Basin	tpcb	0.014	-	0.000064		
Washington Ship Channeltpcb	Washington Ship Channel	tpcb	0.014	-	0.000064		
Watts Branchtpcb	Watts Branch	tpcb	0.014	-	0.000064		
