pollutant_group,pollutant_group_upper
ARSENIC,Arsenic
CHLORDANE,Chlordane
COPPER,Copper
DDD,DDD
DDE,DDE
DDT,DDT
DIELDRIN,Dieldrin
HEPTACHLOR_EPOXIDE,Heptachlor Epoxide
MERCURY,Mercury
PAH1,PAH1
PAH2,PAH2
PAH3,PAH3
TOTAL_PCB,Total PCB
ZINC,Zinc
LEAD,Lead
